google_name,rating,review_count,business_status,google_address,place_id,Establishment Name,Address
Crown Cannabis,4.8,164,OPERATIONAL,"9533 76 Ave NW, Edmonton, AB T6C 0K1, Canada",ChIJTZQxoXAZoFMRE7V8l2DdifE,Crown Cannabis,102-10771 95 STREET NW
Crown Cannabis,4.8,164,OPERATIONAL,"9533 76 Ave NW, Edmonton, AB T6C 0K1, Canada",ChIJTZQxoXAZoFMRE7V8l2DdifE,Crown Cannabis,9533 76 AVE NW
Crown Cannabis,4.8,164,OPERATIONAL,"9533 76 Ave NW, Edmonton, AB T6C 0K1, Canada",ChIJTZQxoXAZoFMRE7V8l2DdifE,Crown Cannabis,1515 50 STREET NW
Crown Cannabis,4.8,164,OPERATIONAL,"9533 76 Ave NW, Edmonton, AB T6C 0K1, Canada",ChIJTZQxoXAZoFMRE7V8l2DdifE,Crown Cannabis,3816 137 AVE NW
Crown Cannabis,4.8,164,OPERATIONAL,"9533 76 Ave NW, Edmonton, AB T6C 0K1, Canada",ChIJTZQxoXAZoFMRE7V8l2DdifE,Crown Cannabis,9020 50 ST NW
Delta 9 Cannabis Store,4.1,172,OPERATIONAL,"4512 118 Ave NW, Edmonton, AB T5W 1A9, Canada",ChIJ95GpDwQ9oFMRF_6PD72EzbQ,Delta 9 Cannabis Store,4512 118 AVE NW
Delta 9 Cannabis Store,4.1,172,OPERATIONAL,"4512 118 Ave NW, Edmonton, AB T5W 1A9, Canada",ChIJ95GpDwQ9oFMRF_6PD72EzbQ,Delta 9 Cannabis Store,12620F 132 AVE NW
Doobie Cannabis,4.8,263,OPERATIONAL,"5817 132 Ave NW, Edmonton, AB T5A 0J1, Canada",ChIJVbW20GI9oFMRJwydzWrCNlI,Doobie Cannabis,5817 132 AVENUE NW
Downtown 420,3.9,19,OPERATIONAL,"New Cambridge Lofts, 10020 Jasper Avenue NW, Unit 1B Lower Concourse, Edmonton, AB T5J 1R2, Canada",ChIJq-lrfhkjoFMR2nilZZMsidw,Downtown 420,1B-10020 JASPER AVE NW
Edmonton Cannabis and Edibles,3.8,45,OPERATIONAL,"3315 118 Ave NW, Edmonton, AB T5W 4X1, Canada",ChIJxStFgD89oFMRBtIUb_ymUIY,Edmonton Cannabis & Edibles,3315 118 AVENUE NW
Edmonton Cannabis and Edibles,3.8,45,OPERATIONAL,"3315 118 Ave NW, Edmonton, AB T5W 4X1, Canada",ChIJxStFgD89oFMRBtIUb_ymUIY,Edmonton Cannabis & Edibles,10123 82 AVENUE NW
Elevate Cannabis - Downtown,4.8,147,OPERATIONAL,"10604 105 Ave NW, Edmonton, AB T5H 0L2, Canada",ChIJNYGYoKojoFMRZ4XFB5Xj7CU,Elevate,10604 105 AVE NW
Elevate Cannabis - Downtown,4.8,147,OPERATIONAL,"10604 105 Ave NW, Edmonton, AB T5H 0L2, Canada",ChIJNYGYoKojoFMRZ4XFB5Xj7CU,Elevate,14454 118 AVE NW
Fire & Flower Cannabis Co. | Edmonton Namao Weed Store,4.3,555,OPERATIONAL,"9610 165 Ave NW, Edmonton, AB T5J 3L3, Canada",ChIJi2Ns_r0loFMRL7oAeGzpbDM,Fire & Flower Cannabis Co.,4357 50 ST NW
Fire & Flower Cannabis Co. | Edmonton Namao Weed Store,4.3,555,OPERATIONAL,"9610 165 Ave NW, Edmonton, AB T5J 3L3, Canada",ChIJi2Ns_r0loFMRL7oAeGzpbDM,Fire & Flower Cannabis Co.,9610 165 AVE NW
Fire & Flower Cannabis Co. | Edmonton Namao Weed Store,4.3,555,OPERATIONAL,"9610 165 Ave NW, Edmonton, AB T5J 3L3, Canada",ChIJi2Ns_r0loFMRL7oAeGzpbDM,Fire & Flower Cannabis Co.,2412 RABBIT HILL ROAD NW
Fire & Flower Cannabis Co. | Edmonton Namao Weed Store,4.3,555,OPERATIONAL,"9610 165 Ave NW, Edmonton, AB T5J 3L3, Canada",ChIJi2Ns_r0loFMRL7oAeGzpbDM,Fire & Flower Cannabis Co.,118-12222 137 AVE NW
